officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Kovaipudur S.O,641042,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2377890,,Coimbatore H.O,76.927435,10.951429
Selvapuram S.O,641026,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2177890,,Coimbatore H.O,76.927245,10.997945
Kondampatti S.O,641658,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Kondampatti,Coimbatore,Tamil Nadu,0422-2398456,,Coimbatore H.O, 77.05321852883847,10.834321271716377
Vadasithur S.O,641671,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Vadasithur,Coimbatore,Tamil Nadu,0422-2598456,,Coimbatore H.O,77.08410716840558,10.836395502262974
Arasampalayam S.O,641662,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Arasampalayam,Coimbatore,Tamil Nadu,0422-2398457,,Coimbatore H.O, 77.5213526665593,11.057928455909014
Chettipalayam S.O,641201,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Chettipalayam,Coimbatore,Tamil Nadu,0422-2398458,,Coimbatore H.O,76.982800,11.035500
Mettupalayam S.O,641301,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Mettupalayam,Coimbatore,Tamil Nadu,0422-2398459,,Coimbatore H.O,76.942800,11.277700
Kumarapalayam S.O,641663,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Kumarapalayam,Coimbatore,Tamil Nadu,0422-2398460,,Coimbatore H.O,77.052800,11.072000
Karamadai S.O,641104,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Karamadai,Coimbatore,Tamil Nadu,0422-2398461,,Coimbatore H.O,76.963800,11.226100
Gassippalayam S.O,641662,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Gassippalayam,Coimbatore,Tamil Nadu,0422-2398462,,Coimbatore H.O,77.012800,11.042000
Othakalmandapam S.O,641032,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Othakalmandapam,Coimbatore,Tamil Nadu,0422-2398463,,Coimbatore H.O,77.00110430075827,10.88280421410852
Kuppandapalayam S.O,641202,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Kuppandapalayam,Coimbatore,Tamil Nadu,0422-2398464,,Coimbatore H.O,76.972800,11.051500
Sithayankottai S.O,641702,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Sithayankottai,Coimbatore,Tamil Nadu,0422-2398465,,Coimbatore H.O,77.022800,11.078800
Palladam S.O,641664,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Palladam,Coimbatore,Tamil Nadu,0422-2398466,,Coimbatore H.O,77.034800,10.976500
Mullanaickenpalayam S.O,641031,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Mullanaickenpalayam,Coimbatore,Tamil Nadu,0422-2398467,,Coimbatore H.O,76.957800,10.972000
Somanur S.O,641668,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Somanur,Coimbatore,Tamil Nadu,0422-2398468,,Coimbatore H.O,77.1862065660945,11.088572295297377
Dharapuram S.O,638656,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Dharapuram,Coimbatore,Tamil Nadu,04256-222345,,Coimbatore H.O,77.166800,10.558300
