officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Metagalli S.O,570016,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417332,,Mysore H.O,76.632,12.3474
Mirle S.O,571603,S.O,Delivery,Mysore,South Karnataka,Karnataka,K R Nagar,Mysore,KARNATAKA,08223-282230,,Saraswathipuram H.O,76.2998,12.5164
Mysore Fort S.O,570004,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417368,,Mysore H.O,76.6552,12.3006
Mysore H.O,570001,H.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417303,,,76.6568,12.3117
Mysore Law Courts S.O,570005,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417364,,Saraswathipuram H.O,76.6397,12.3025
Mysore South S.O,570008,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417342,,Mysore H.O,76.6429,12.2832
Mysore University S.O,570005,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417317,,Mysore H.O,76.6374,12.311
Narasimha Raja Mohalla S.O,570007,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417343,,Mysore H.O,76.6608,12.3302
Note Mudran Nagar S.O,570003,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2582730,,Mysore H.O,76.6508,12.3508
Periyapatna S.O,571107,S.O,Delivery,Mysore,South Karnataka,Karnataka,Periyapatna,Mysore,KARNATAKA,08223-274211,,Saraswathipuram H.O,76.1,12.3368
PTC Campus S.O,570010,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417365,,Mysore H.O,76.6677,12.3082
Ramakrishna Nagar S.O (Mysore),570022,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417334,,Saraswathipuram H.O,76.6197,12.2907
Rathnapuri Colony S.O,571189,S.O,Delivery,Mysore,South Karnataka,Karnataka,Hunsur,Mysore,KARNATAKA,08222-245044,,Saraswathipuram H.O,76.3401,12.2382
Ravandur S.O,571108,S.O,Delivery,Mysore,South Karnataka,Karnataka,Periyapatna,Mysore,KARNATAKA,08223-277430,,Saraswathipuram H.O,76.1919,12.4292
Saligrama S.O (Mysore),571604,S.O,Delivery,Mysore,South Karnataka,Karnataka,K R Nagar,Mysore,KARNATAKA,08223-283321,,Saraswathipuram H.O,76.2569,12.5653
Saraswathipuram H.O,570009,H.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417320,,,76.6298,12.3036
Sargur S.O,571121,S.O,Delivery,Mysore,South Karnataka,Karnataka,H D Kote,Mysore,KARNATAKA,08228-265521,,Saraswathipuram H.O,76.3964,11.9998
Shakthinagar S.O,570029,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2494746,,Mysore H.O,76.6987,12.3117
Shivaraathreeswar Nagar S.O,570015,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2495040,,Mysore H.O,76.6546,12.343
Siddarthanagar Nagar S.O,570011,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417335,,Mysore H.O,76.6766,12.3034
Sri Rampura 2nd Stage S.O,570023,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2481121,,Saraswathipuram H.O,76.6262,12.2702
Udayagiri S.O (Mysore),570019,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417336,,Mysore H.O,76.6772,12.3243
University Campus S.O (Mysore),570006,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417337,,Mysore H.O,76.6223,12.3193
Vani Vilas Mohalla S.O,570002,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417318,,Mysore H.O,76.6267,12.3227
Vijaynagar II Stage S.O,570017,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417328,,Mysore H.O,76.6131,12.3403
Yadavagiri S.O,570020,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417345,,Mysore H.O,76.6368,12.3226
Yelwal S.O,571130,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-242230,,Saraswathipuram H.O,76.5421,12.3591
Bannur S.O,571101,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Kollegal,Mysore,KARNATAKA,08227-275621,,Kollegal H.O,76.8611,12.3306
Gargeshwari S.O,571110,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,T Narasipura,Mysore,KARNATAKA,08227-261250,,Kollegal H.O,76.8923,12.2396
Gundlupet S.O,571111,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Gundlupet,Chamrajnagar,KARNATAKA,08226-78978978,,Nanjangud H.O,76.688,11.8097
Haradanahalli S.O,571127,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Chamarajanagara,Chamrajnagar,KARNATAKA,08226-238131,,Kollegal H.O,76.9548,11.8779
Hullahalli S.O,571314,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud ,Mysore,KARNATAKA,08221-220130,,Nanjangud H.O,76.5108,12.1428
Hura S.O (Mysore),571315,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud ,Mysore,KARNATAKA,08221-231330,,Nanjangud H.O,76.5454,12.0273
Kagalavadi S.O,571117,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Chamarajanagara,Chamrajnagar,KARNATAKA,08226-232230,,Kollegal H.O,76.8991,12.0719
Kalale S.O,571118,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-238030,,Nanjangud H.O,76.665,12.0727
Kavalande S.O,571312,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-221630,,Nanjangud H.O,76.8094,12.0214
Nagarle S.O,571129,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-232230,,Nanjangud H.O,76.7664,12.1463
Nanjangud H.O,571301,H.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-226220,,,76.6797,12.1247
Old Sosale S.O,571120,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,T Narasipura,Mysore,KARNATAKA,08227-261230,,Kollegal H.O,76.9111,12.2409
Srikantapuri Extension S.O,571301,S.O,Non-Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-225815,,Nanjangud H.O,76.6738,12.1138
T Narasipura S.O,571124,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,T Narasipura,Mysore,KARNATAKA,08227-261221,,Kollegal H.O,76.8978,12.2151
Tagadur S.O,571119,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-235030,,Nanjangud H.O,76.8089,12.0965
Talakad S.O,571122,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,T Narasipura,Mysore,KARNATAKA,08227-273330,,Kollegal H.O,77.0259,12.1922
Thandavapura S.O,571302,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-226320,,Nanjangud H.O,76.6754,12.1693
Variyankaval S.O,621806,S.O,Delivery,Tiruchirapalli,Tiruchy,Tamilnadu,Jayamkondacholapuram,Ariyalur,TAMIL NADU,,,Lalgudi H.O,78.4475,17.4718

